date,symbol,equity,cash,positions
2021-10-20,GOOGL,959197.92,959197.92,0
2021-10-21,GOOGL,959197.92,959197.92,0
2021-10-22,GOOGL,959197.92,959197.92,0
2021-10-25,GOOGL,959197.92,959197.92,0
2021-10-26,GOOGL,959197.92,959197.92,0
2021-10-27,GOOGL,959197.92,959197.92,0
2021-10-28,GOOGL,959197.92,959197.92,0
2021-10-29,GOOGL,959197.92,959197.92,0
2021-11-01,GOOGL,959197.92,959197.92,0
2021-11-02,GOOGL,959197.92,959197.92,0
2021-11-03,GOOGL,959197.92,959197.92,0
2021-11-04,GOOGL,959197.92,959197.92,0
2021-11-05,GOOGL,959197.92,959197.92,0
2021-11-08,GOOGL,959197.92,959197.92,0
2021-11-09,GOOGL,959197.92,959197.92,0
2021-11-10,GOOGL,959197.92,959197.92,0
2021-11-11,GOOGL,959197.92,959197.92,0
2021-11-12,GOOGL,959197.92,959197.92,0
2021-11-15,GOOGL,1055096.27,1054998.5,1
2021-11-16,GOOGL,1055467.59,1054998.5,1
2021-11-17,GOOGL,1055357.37,1054998.5,1
2021-11-18,GOOGL,1054202.43,1054998.5,1
2021-11-19,GOOGL,1054790.36,1054998.5,1
2021-11-22,GOOGL,1056482.32,1054998.5,1
2021-11-23,GOOGL,1056817.55,1054998.5,1
2021-11-24,GOOGL,1056599.64,1054998.5,1
2021-11-26,GOOGL,1059137.72,1054998.5,1
2021-11-29,GOOGL,1056979.69,1054998.5,1
2021-11-30,GOOGL,1059321.76,1054998.5,1
2021-12-01,GOOGL,1059867.18,1054998.5,1
2021-12-02,GOOGL,1059821.71,1059821.71,0
2021-12-03,GOOGL,1059821.71,1059821.71,0
2021-12-06,GOOGL,1059821.71,1059821.71,0
2021-12-07,GOOGL,1059821.71,1059821.71,0
2021-12-08,GOOGL,1059821.71,1059821.71,0
2021-12-09,GOOGL,1059821.71,1059821.71,0
2021-12-10,GOOGL,1059821.71,1059821.71,0
2021-12-13,GOOGL,1059821.71,1059821.71,0
2021-12-14,GOOGL,1059821.71,1059821.71,0
2021-12-15,GOOGL,1059821.71,1059821.71,0
2021-12-16,GOOGL,1059821.71,1059821.71,0
2021-12-17,GOOGL,1059821.71,1059821.71,0
2021-12-20,GOOGL,1059821.71,1059821.71,0
2021-12-21,GOOGL,1059821.71,1059821.71,0
2021-12-22,GOOGL,1059821.71,1059821.71,0
2021-12-23,GOOGL,1059821.71,1059821.71,0
2021-12-27,GOOGL,1059821.71,1059821.71,0
2021-12-28,GOOGL,1059821.71,1059821.71,0
2021-12-29,GOOGL,1059821.71,1059821.71,0
2021-12-30,GOOGL,1059821.71,1059821.71,0
2021-12-31,GOOGL,1059821.71,1059821.71,0
2022-01-03,GOOGL,1059821.71,1059821.71,0
2022-01-04,GOOGL,1059821.71,1059821.71,0
2022-01-05,GOOGL,1059821.71,1059821.71,0
2022-01-06,GOOGL,1059821.71,1059821.71,0
2022-01-07,GOOGL,1059821.71,1059821.71,0
2022-01-10,GOOGL,1059821.71,1059821.71,0
2022-01-11,GOOGL,1059821.71,1059821.71,0
2022-01-12,GOOGL,1059821.71,1059821.71,0
2022-01-13,GOOGL,1059821.71,1059821.71,0
2022-01-14,GOOGL,1059821.71,1059821.71,0
2022-01-18,GOOGL,1059821.71,1059821.71,0
2022-01-19,GOOGL,953146.21,953885.46,1
2022-01-20,GOOGL,951737.78,953885.46,1
2022-01-21,GOOGL,949534.44,951929.74,1
2022-01-24,GOOGL,949940.99,949627.54,1
2022-01-25,GOOGL,946809.78,949627.54,1
2022-01-26,GOOGL,948982.16,947131.61,1
2022-01-27,GOOGL,948793.34,947131.61,1
2022-01-28,GOOGL,952392.48,947131.61,1
2022-01-31,GOOGL,1057511.72,1057511.72,0
2022-02-01,GOOGL,1057511.72,1057511.72,0
2022-02-02,GOOGL,1057511.72,1057511.72,0
2022-02-03,GOOGL,1057511.72,1057511.72,0
2022-02-04,GOOGL,1057511.72,1057511.72,0
2022-02-07,GOOGL,1057511.72,1057511.72,0
2022-02-08,GOOGL,1057511.72,1057511.72,0
2022-02-09,GOOGL,1057511.72,1057511.72,0
2022-02-10,GOOGL,1057511.72,1057511.72,0
2022-02-11,GOOGL,1057511.72,1057511.72,0
2022-02-14,GOOGL,1057511.72,1057511.72,0
2022-02-15,GOOGL,1057511.72,1057511.72,0
2022-02-16,GOOGL,1057511.72,1057511.72,0
2022-02-17,GOOGL,1057511.72,1057511.72,0
2022-02-18,GOOGL,1057511.72,1057511.72,0
2022-02-22,GOOGL,1057511.72,1057511.72,0
2022-02-23,GOOGL,1057511.72,1057511.72,0
2022-02-24,GOOGL,955969.48,951796.22,1
2022-02-25,GOOGL,957434.06,951796.22,1
2022-02-28,GOOGL,1063093.89,1063093.89,0
2022-03-01,GOOGL,1063093.89,1063093.89,0
2022-03-02,GOOGL,1063093.89,1063093.89,0
2022-03-03,GOOGL,1063093.89,1063093.89,0
2022-03-04,GOOGL,1063093.89,1063093.89,0
2022-03-07,GOOGL,1063093.89,1063093.89,0
2022-03-08,GOOGL,1063093.89,1063093.89,0
2022-03-09,GOOGL,1063093.89,1063093.89,0
2022-03-10,GOOGL,1063093.89,1063093.89,0
2022-03-11,GOOGL,1063093.89,1063093.89,0
2022-03-14,GOOGL,1063093.89,1063093.89,0
2022-03-15,GOOGL,1063093.89,1063093.89,0
2022-03-16,GOOGL,1063093.89,1063093.89,0
2022-03-17,GOOGL,1063093.89,1063093.89,0
