date,symbol,equity,cash,positions
2021-01-28,TSLA,1087757.51,1087757.51,0
2021-01-29,TSLA,1087757.51,1087757.51,0
2021-02-01,TSLA,1087757.51,1087757.51,0
2021-02-02,TSLA,1087757.51,1087757.51,0
2021-02-03,TSLA,1087757.51,1087757.51,0
2021-02-04,TSLA,1087757.51,1087757.51,0
2021-02-05,TSLA,1087757.51,1087757.51,0
2021-02-08,TSLA,1087757.51,1087757.51,0
2021-02-09,TSLA,1087757.51,1087757.51,0
2021-02-10,TSLA,1087757.51,1087757.51,0
2021-02-11,TSLA,1087757.51,1087757.51,0
2021-02-12,TSLA,1087757.51,1087757.51,0
2021-02-16,TSLA,1087757.51,1087757.51,0
2021-02-17,TSLA,1087757.51,1087757.51,0
2021-02-18,TSLA,1087757.51,1087757.51,0
2021-02-19,TSLA,1087757.51,1087757.51,0
2021-02-22,TSLA,1087757.51,1087757.51,0
2021-02-23,TSLA,976664.58,979099.21,1
2021-02-24,TSLA,983534.15,976895.41,1
2021-02-25,TSLA,1091851.01,1091851.01,0
2021-02-26,TSLA,981511.46,982641.23,1
2021-03-01,TSLA,988380.26,982641.23,1
2021-03-02,TSLA,1097532.56,1097532.56,0
2021-03-03,TSLA,1097532.56,1097532.56,0
2021-03-04,TSLA,1097532.56,1097532.56,0
2021-03-05,TSLA,983700.32,987897.18,1
2021-03-08,TSLA,977564.02,984002.83,1
2021-03-09,TSLA,999367.03,978079.41,1
2021-03-10,TSLA,1108015.36,1108015.36,0
2021-03-11,TSLA,1108015.36,1108015.36,0
2021-03-12,TSLA,1108015.36,1108015.36,0
2021-03-15,TSLA,1108015.36,1108015.36,0
2021-03-16,TSLA,1108015.36,1108015.36,0
2021-03-17,TSLA,1108015.36,1108015.36,0
2021-03-18,TSLA,1108015.36,1108015.36,0
2021-03-19,TSLA,1108015.36,1108015.36,0
2021-03-22,TSLA,1108015.36,1108015.36,0
2021-03-23,TSLA,1108015.36,1108015.36,0
2021-03-24,TSLA,1108015.36,1108015.36,0
2021-03-25,TSLA,1108015.36,1108015.36,0
2021-03-26,TSLA,1108015.36,1108015.36,0
2021-03-29,TSLA,1108015.36,1108015.36,0
2021-03-30,TSLA,1108015.36,1108015.36,0
2021-03-31,TSLA,1108015.36,1108015.36,0
2021-04-01,TSLA,1108015.36,1108015.36,0
2021-04-05,TSLA,1108015.36,1108015.36,0
2021-04-06,TSLA,1108015.36,1108015.36,0
2021-04-07,TSLA,1108015.36,1108015.36,0
2021-04-08,TSLA,1108015.36,1108015.36,0
2021-04-09,TSLA,1108015.36,1108015.36,0
2021-04-12,TSLA,1108015.36,1108015.36,0
2021-04-13,TSLA,1108015.36,1108015.36,0
2021-04-14,TSLA,1108015.36,1108015.36,0
2021-04-15,TSLA,1108015.36,1108015.36,0
2021-04-16,TSLA,1108015.36,1108015.36,0
2021-04-19,TSLA,1108015.36,1108015.36,0
2021-04-20,TSLA,1108015.36,1108015.36,0
2021-04-21,TSLA,1108015.36,1108015.36,0
2021-04-22,TSLA,1108015.36,1108015.36,0
2021-04-23,TSLA,1108015.36,1108015.36,0
